"idWilayah"|"nomorUrut"|"jumlahSuara"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKd"|"namaWkd"|"namaKabupatenKota"
"1"|1|1|403818|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|"Ir. H. Tarmizi A. Karim, M.Sc."|"Ir. H. T. Machsalmina Ali, M.M."|NA
"2"|1|2|132439|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|"ZAKARIA SAMAN"|"Ir. H. T. ALAIDINSYAH, M.Eng"|NA
"3"|1|3|42036|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|"Dr. Ir. H. Abdullah Puteh, M.Si"|"Sayed Mustafa Usab Al-Idroes, SE, M.Si"|NA
"4"|1|4|165979|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|"dr. H. ZAINI ABDULLAH"|"Ir. H. NASARUDDIN, MM"|NA
"5"|1|5|762279|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|"H. Muzakir Manaf"|"Ir. H. T.A. Khalid, M.M"|NA
"6"|1|6|890551|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|"Drh. H. Irwandi Yusuf, M.Sc"|"Ir. H. Nova Iriansyah, MT."|NA
"7"|1492|1|48201|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT"|"ACEH BARAT"|"ACEH"|"Dr. (H.C) H. T. Alaidinsyah"|"H. Kamaruddin, SE"|"ACEH BARAT"
"8"|1492|2|52538|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT"|"ACEH BARAT"|"ACEH"|"H. Ramli. MS"|"Drs. H. Banta Puteh Syam, SH. MM"|"ACEH BARAT"
"9"|1492|3|4213|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT"|"ACEH BARAT"|"ACEH"|"Fuad Hadi, S.H.,M.H"|"drh. Muhammad Arif"|"ACEH BARAT"
"10"|4989|1|28138|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"Akmal Ibrahim, SH"|"Muslizar. MT"|"ACEH BARAT DAYA"
"11"|4989|2|1237|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"Muazam, SE, MM"|"Hermansyah, SH"|"ACEH BARAT DAYA"
"12"|4989|3|1161|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"H.HASBI M.SALEH,SE"|"TGK. T.ALAMSYAH YUSFA"|"ACEH BARAT DAYA"
"13"|4989|5|7989|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"MAIDISAL DIWA"|"RUSLAN"|"ACEH BARAT DAYA"
"14"|4989|6|20234|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"MUKHLIS MS"|"HJ. SYAMSINAR"|"ACEH BARAT DAYA"
"15"|4989|7|501|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"H.JUNAIDI"|"EDWAR RAHMAN, S.Pd"|"ACEH BARAT DAYA"
"16"|4989|8|5346|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"Muhammad Qudusi"|"Hamdani"|"ACEH BARAT DAYA"
"17"|4989|9|13108|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"ERWANTO,SE,MA"|"MUZAKIR ND,SH.i"|"ACEH BARAT DAYA"
"18"|4989|10|1787|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"H. ZAINAL ARIFIN, SE. MM"|"SAID AZHARI"|"ACEH BARAT DAYA"
"19"|1824|1|110074|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BESAR"|"ACEH BESAR"|"ACEH"|"MAWARDI ALI"|"HUSAINI AW"|"ACEH BESAR"
"20"|1824|2|82710|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BESAR"|"ACEH BESAR"|"ACEH"|"SAIFUDDIN YAHYA, SE"|"JUANDA DJAMAL, ST"|"ACEH BESAR"
"21"|5286|1|33354|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH JAYA"|"ACEH JAYA"|"ACEH"|"DRS. H. T. IRFAN. TB"|"TGK. YUSRI. S"|"ACEH JAYA"
"22"|5286|2|17413|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH JAYA"|"ACEH JAYA"|"ACEH"|"Ir. Junaidi"|"Bustami Syarbini, ST"|"ACEH JAYA"
"23"|4233|1|23401|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH SINGKIL"|"ACEH SINGKIL"|"ACEH"|"H. Safriadi, SH"|"Sariman, SP"|"ACEH SINGKIL"
"24"|4233|2|8673|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH SINGKIL"|"ACEH SINGKIL"|"ACEH"|"Yakarim M"|"Roesman Hasmy"|"ACEH SINGKIL"
"25"|4233|3|25886|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH SINGKIL"|"ACEH SINGKIL"|"ACEH"|"Dulmusrid"|"H. Sazali, S.Sos"|"ACEH SINGKIL"
"26"|4233|4|2568|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH SINGKIL"|"ACEH SINGKIL"|"ACEH"|"Putra Ariyanto"|"Hendri Syahputra"|"ACEH SINGKIL"
"27"|5694|1|29578|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TAMIANG"|"ACEH TAMIANG"|"ACEH"|"Ir. RUSMAN"|"MUHAMMAD ICHSAN"|"ACEH TAMIANG"
"28"|5694|2|33154|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TAMIANG"|"ACEH TAMIANG"|"ACEH"|"H.HAMDAN SATI,ST"|"IZWARDI,S.IP"|"ACEH TAMIANG"
"29"|5694|3|39552|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TAMIANG"|"ACEH TAMIANG"|"ACEH"|"H. MURSIL, SH.MKn"|"H. T. INSYAFUDDIN, ST"|"ACEH TAMIANG"
"30"|5694|4|6067|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TAMIANG"|"ACEH TAMIANG"|"ACEH"|"Drs. ISKANDAR ZULKARNAIN, MAP"|"Drs. H. AHMAD AS'ADI"|"ACEH TAMIANG"
"31"|5694|5|13086|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TAMIANG"|"ACEH TAMIANG"|"ACEH"|"LUKMANUL HAKIM"|"ABDUL MANAF"|"ACEH TAMIANG"
"32"|1207|1|2044|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"H.USMAN NUZULY, SH.MH"|"M. BUKRI, NS SH"|"ACEH TENGAH"
"33"|1207|2|30318|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"MUCHSIN HASAN, MSP"|"Drs. H. TAUFIK, MM"|"ACEH TENGAH"
"34"|1207|3|22345|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"ALAMSYAH MAHMUD GAYO,SH.MM"|"ANDA SUHADA"|"ACEH TENGAH"
"35"|1207|4|17673|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"Drs. H. Khairul Asmara"|"H. Zulpikar.AB. SE"|"ACEH TENGAH"
"36"|1207|5|32505|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"Drs.SHABELA ABUBAKAR"|"H.FIRDAUS, SKM."|"ACEH TENGAH"
"37"|1207|6|1587|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGAH"|"ACEH TENGAH"|"ACEH"|"SAIFUL EFFENDI"|"NURHIDAYAH, S. H."|"ACEH TENGAH"
"38"|269|1|62864|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGGARA"|"ACEH TENGGARA"|"ACEH"|"Drs. Raidin Pinim, M.AP"|"Bukhari"|"ACEH TENGGARA"
"39"|269|2|55385|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGGARA"|"ACEH TENGGARA"|"ACEH"|"H. ALI BASRAH, S.Pd, MM"|"DENNY FEBRIAN ROZA, S.STP"|"ACEH TENGGARA"
"40"|671|1|88663|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TIMUR"|"ACEH TIMUR"|"ACEH"|"Ridwan Abubakar, S.Pd.I., M.M"|"Abdul Rani"|"ACEH TIMUR"
"41"|671|2|93230|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TIMUR"|"ACEH TIMUR"|"ACEH"|"H. Hasballah Bin H.M. Thaib"|"Syahrul Bin Syama?un"|"ACEH TIMUR"
"42"|3205|1|122510|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH UTARA"|"ACEH UTARA"|"ACEH"|"H. MUHAMMAD THAIB"|"FAUZI YUSUF"|"ACEH UTARA"
