"idWilayah"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKabupatenKota"|"jumlahTps"|"jumlahSuara"
"1"|40053|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BATANG"|"BATANG"|"JAWA TENGAH"|"BATANG"|1388|445329
"2"|5694|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TAMIANG"|"ACEH TAMIANG"|"ACEH"|"ACEH TAMIANG"|610|126456
"3"|33603|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BANJARNEGARA"|"BANJARNEGARA"|"JAWA TENGAH"|"BANJARNEGARA"|1742|544779
"4"|58040|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA KUPANG"|"KOTA KUPANG"|"NUSA TENGGARA TIMUR"|"KOTA KUPANG"|660|166852
"5"|16420|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - SAROLANGUN"|"SAROLANGUN"|"JAMBI"|"SAROLANGUN"|586|133868
"6"|56244|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - FLORES TIMUR"|"FLORES TIMUR"|"NUSA TENGGARA TIMUR"|"FLORES TIMUR"|439|125062
"7"|5286|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH JAYA"|"ACEH JAYA"|"ACEH"|"ACEH JAYA"|183|51973
"8"|80144|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - JAYAPURA"|"JAYAPURA"|"PAPUA"|"JAYAPURA"|186|41903
"9"|73420|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON"|"BUTON"|"SULAWESI TENGGARA"|"BUTON"|213|50614
"10"|32566|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA TASIKMALAYA"|"KOTA TASIKMALAYA"|"JAWA BARAT"|"KOTA TASIKMALAYA"|1120|389984
"11"|41558|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA SALATIGA"|"KOTA SALATIGA"|"JAWA TENGAH"|"KOTA SALATIGA"|386|108960
"12"|12081|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA TEBING TINGGI"|"KOTA TEBING TINGGI"|"SUMATERA UTARA"|"KOTA TEBING TINGGI"|289|59879
"13"|14166|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KAMPAR"|"KAMPAR"|"RIAU"|"KAMPAR"|1323|333950
"14"|53814|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BULELENG"|"BULELENG"|"BALI"|"BULELENG"|1086|319619
"15"|74018|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOMBANA"|"BOMBANA"|"SULAWESI TENGGARA"|"BOMBANA"|326|81122
"16"|82022|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - SORONG"|"SORONG"|"PAPUA BARAT"|"SORONG"|353|50532
"17"|32677|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - CILACAP"|"CILACAP"|"JAWA TENGAH"|"CILACAP"|3217|937134
"18"|13554|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KEPULAUAN MENTAWAI"|"KEPULAUAN MENTAWAI"|"SUMATERA BARAT"|"KEPULAUAN MENTAWAI"|228|42025
"19"|671|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TIMUR"|"ACEH TIMUR"|"ACEH"|"ACEH TIMUR"|771|190581
"20"|76771|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - SERAM BAGIAN BARAT"|"SERAM BAGIAN BARAT"|"MALUKU"|"SERAM BAGIAN BARAT"|397|110620
"21"|1|"Pemilihan Gubernur/Wakil Gubernur - ACEH"|"ACEH"|"ACEH"|NA|9538|2504873
"22"|928084|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON SELATAN"|"BUTON SELATAN"|"SULAWESI TENGGARA"|"BUTON SELATAN"|161|40543
"23"|79564|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - LANNY JAYA"|"LANNY JAYA"|"PAPUA"|"LANNY JAYA"|400|113365
"24"|74716|"Pemilihan Gubernur/Wakil Gubernur - PROVINSI GORONTALO"|"PROVINSI GORONTALO"|"GORONTALO"|NA|1979|652621
"25"|66188|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KEPULAUAN SANGIHE"|"KEPULAUAN SANGIHE"|"SULAWESI UTARA"|"KEPULAUAN SANGIHE"|299|85263
"26"|13933|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA PAYAKUMBUH"|"KOTA PAYAKUMBUH"|"SUMATERA BARAT"|"KOTA PAYAKUMBUH"|210|57997
"27"|6591|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA LANGSA"|"KOTA LANGSA"|"ACEH"|"KOTA LANGSA"|278|73559
"28"|17215|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TEBO"|"TEBO"|"JAMBI"|"TEBO"|669|166603
"29"|7240|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TAPANULI TENGAH"|"TAPANULI TENGAH"|"SUMATERA UTARA"|"TAPANULI TENGAH"|553|144180
"30"|4989|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH BARAT DAYA"|"ACEH BARAT DAYA"|"ACEH"|"ACEH BARAT DAYA"|250|84578
